убийство;убил;лишил жизни,УК РК,99
кража;украл;похитил,УК РК,188
изнасилование;изнасиловал;сексуальное насилие,УК РК,120
наркотики;нашел наркотики;наркотическое средство,УК РК,296
пьяный за рулем;алкоголь;управление в нетрезвом виде,КоАП,608
грабеж;грабитель;отобрал,УК РК,191
разбой;напал с оружием;разбойное нападение,УК РК,192
мошенничество;обман;развел на деньги,УК РК,190
взятка;коррупция;передал деньги,УК РК,366
вымогательство;шантаж;угрожал,УК РК,194
угон;угнал машину;автомобиль,УК РК,200
самоуправство;самовольно;без приказа,УК РК,389
подделка документов;фальшивка;подделал,УК РК,385
побои;избил;ударил,УК РК,107
домогательство;сексуальное приставание;приставал,УК РК,123
оскорбление;обидел;оскорбил,УК РК,131
клевета;ложь;обвинил без оснований,УК РК,130
хулиганство;дебош;драка,УК РК,293
теракт;терроризм;взрыв,УК РК,255
измена родине;шпионаж;предал,УК РК,175
взлом;вломился;форточник,УК РК,202
сбежал с места дтп;покинул место аварии,КоАП,611
без прав;водил без удостоверения,КоАП,612
неуплата алиментов;алименты;не платит,УК РК,139
насилие в семье;домашнее насилие,УК РК,110
перевозка наркотиков;транспортировка наркотиков,УК РК,297
преступная группировка;банда;ОПГ,УК РК,262
контрабанда;перевоз без декларирования,УК РК,234
реклама наркотиков;пропаганда,УК РК,299
вандализм;разрушил имущество;граффити,УК РК,294
жестокое обращение с животными;издевался над животным,УК РК,316
педофилия;растление несовершеннолетних,УК РК,122
поджог;сжег,УК РК,202
вмешательство в выборы;фальсификация голосов,УК РК,149
подкуп избирателей;купил голоса,УК РК,150
нарушение карантина;не соблюдал изоляцию,КоАП,425
лжесообщение о теракте;ложный вызов,УК РК,273
незаконное предпринимательство;бизнес без регистрации,УК РК,214
незаконное ношение оружия;оружие без разрешения,УК РК,287
мелкое хулиганство;ругался;спорил,КоАП,434
осквернение могил;кладбище,УК РК,314
угроза убийством;запугивание,УК РК,115
оскорбление представителя власти;полиция,УК РК,378
превышение полномочий;власть,УК РК,362
вмешательство в деятельность суда,УК РК,407
неповиновение полиции;сопротивление,КоАП,667
неуплата налогов;налоговое преступление,УК РК,245
подделка денег;фальшивые купюры,УК РК,231
экстремизм;призывы,УК РК,256
нарушение авторских прав;пиратство,УК РК,184
грубое нарушение ПДД;авария,КоАП,606
